"Data Source","World Development Indicators",

"Last Updated Date","2025-10-07",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"United States","USA","Changes in inventories (current US$)","NE.GDI.STKB.CD","3232000000","2974000000","6101000000","5621000000","4821000000","9247000000","13636000000","9866000000","9053000000","9173000000","2001000000","8256000000","9107000000","15878000000","13990000000","-6256000000","17116000000","22324000000","25791000000","17984000000","-6331000000","29809000000","-14914000000","-5751000000","65405000000","21824000000","6571000000","27149000000","18482000000","27693000000","14546000000","-394000000","16328000000","20814000000","63785000000","31174000000","30799000000","70927000000","63719000000","60816000000","54544000000","-38284000000","19975000000","14094000000","64068000000","57513000000","68989000000","33950000000","-29241000000","-150772000000","53917000000","46262000000","71212000000","105477000000","84792000000","140123000000","39068000000","32674000000","56408000000","72955000000","-36071000000","12193000000","149647000000","41695000000","51950000000",
"United States","USA","Gross fixed capital formation (constant 2015 US$)","NE.GDI.FTOT.KD","","","","","","","","","","","114869151877.3","134449868559.706","287547059705.45","325544834351.001","346118567219.633","357642078034.929","406822078429.705","480525261162.546","573762902059.802","659717396291.011","691182440229.051","769700620701.308","773947152652.957","837210301858.577","974375031440.872","1056443810160.76","1110884946001.82","1150977717528.86","1209795937138.99","1277188430050.68","1304769814411.55","1273478496883.79","1328951711728.02","1416430681095.13","1528456476061.99","1638582587837.89","1769351306355.88","1903053842915.8","2073361258644.2","2256100908083.59","2439071850191.48","2451710705316.17","2419956802539.19","2546462541651.07","2778994859874.34","3074128316585.31","3271873201283.29","3321447941046.62","3118410906594.95","2612052326133.64","2878528015528.8","3000501688844.49","3230363939520.16","3397405728751.71","3572828850188.18","3777790000000","3792096083462.41","3952143427600.11","4171824059917.06","4308413389711.02","4178476545894.92","4459693626039.42","4675491736471.23","4732952298345.28","4942841850569.67",
"United States","USA","Gross fixed capital formation, private sector (current LCU)","NE.GDI.FPRV.CN","83245000000","83610000000","90876000000","97663000000","107329000000","120398000000","130552000000","132834000000","147870000000","164389000000","168048000000","188568000000","219033000000","251047000000","260536000000","263509000000","306108000000","374289000000","452586000000","521673000000","536429000000","601420000000","595948000000","643269000000","754684000000","807826000000","842575000000","865027000000","918481000000","972008000000","978902000000","944738000000","996678000000","1086012000000","1192699000000","1286315000000","1401256000000","1524673000000","1672952000000","1826243000000","1983864000000","1973126000000","1910442000000","2012962000000","2217185000000","2477207000000","2631965000000","2639061000000","2506854000000","2080436000000","2111556000000","2286300000000","2550542000000","2732850000000","2989189000000","3148358000000","3239237000000","3434990000000","3668362000000","3820779000000","3791084000000","4211579000000","4671575000000","4943066000000","5220969000000",
"United States","USA","Exports of goods and services (constant 2015 US$)","NE.EXP.GNFS.KD","","","","","","","","","","","62470164748.3712","65874641729.9183","74119042041.7166","99674590520.9025","132506763894.576","145120277874.149","156429125966.818","166717886457.455","195525160338.807","240771015146.425","293755934561.451","319354379032.107","296306676688.375","289805318371.432","316363168309.844","317232596819.882","335842133412.009","380773068867.616","465160992769.776","527609186400.565","577393646354.449","622442807363.553","662327709509.553","685079324883.025","754275790335.925","850397337250.063","907709520586.631","997910374423.868","997048269597.323","1038825826636.43","1146799222102.72","1074295580367.83","1044129235923.17","1083034853923.61","1230762371108.97","1361769867698.75","1538156092226.57","1736026930883.93","1836538438065.96","1683875559427.75","1896869012734.67","2033029274774.45","2114719862501.96","2178380200346.2","2263387622061.29","2270622000000","2281386046251.12","2375250956270.06","2443042666943.2","2456083244827.77","2133651177330.58","2271843310985.53","2442520526660.3","2510039729833.41","2592182839139.44",
"United States","USA","Gross national expenditure (constant LCU)","NE.DAB.TOTL.KN","","","","","","","","","","","1225277147415.17","1333556224371.55","1468369204607.52","1626216958182.91","1769937989341.85","1913711860560.86","2147611549223.41","2408688675029.83","2717392280376.61","3028651618956.53","3284750197865.69","3681705901174.29","3852969081234.51","4221697108196.17","4733641421274.94","5094495790178.24","5392196363931.28","5722949783551.91","6121397202727.66","6560284097162.29","6923065774359.59","7096528638900","7519271520900","7940821584100","8458753028600","8859597079700","9361019238500","9940304572900","10562456511100","11321953660800","12170301419400","12557290892700","13032399780800","13731996376800","14724744585400","15780942746200","16721598868100","17428302000000","17224717000000","16522475000000","17237492000000","17461089000000","17845294000000","18207373000000","18687662000000","19409373000000","19681192000000","20188105000000","20842509000000","21405280000000","20900323000000","22441964000000","23190528000000","23635982000000","24367392000000",
"United States","USA","Gross national expenditure deflator (base year varies by country)","NE.DAB.DEFL.ZS","","","","","","","","","","","87.2745404789358","87.302655765313","87.340635854781","87.3970716421553","87.3509133828411","87.208896720266","87.3083403131271","87.3886701017486","87.4723173818161","87.4936880628406","87.3845141059755","87.4475334646669","87.3031142757636","87.3032788838516","87.4662787382162","87.407982720979","87.3762690008009","87.3672527124079","87.3302421482783","87.3181849316227","87.2590149637689","87.1798778643269","87.1768625694662","87.1916328388925","87.2436276960484","87.2444980337834","87.2714582873678","87.3164794533838","87.3426365382425","87.3588012839573","87.3603999901932","87.2694364862621","87.2352996471853","87.2298730011124","87.2771471550173","87.3148088907297","87.3244066861123","87.2727647248711","90.0492762812881","90.163362329191","90.3917982964111","92.6594440930918","94.1737804936136","95.3412389585252","96.9465147646613","96.9600563603987","98.1047540209963","99.8381522188437","101.953142973334","103.326244739616","105.167307701417","109.35406990226","116.279487038846","120.655236579551","123.476246452636",
"United States","USA","Final consumption expenditure (constant 2015 US$)","NE.CON.TOTL.KD","","","","","","","","","","","951073975907.28","1029681937654.35","1125699047342.19","1233379277876.68","1354220312187.32","1503655534955.4","1656483768596.3","1829783356651.84","2031299880203","2254596248171.52","2497252603721.23","2765379765098.52","2974731368181.05","3259327377324.02","3542629624057.4","3855763177068.94","4105902282807.29","4365226875075.46","4702029935988.81","5050642260788.05","5389370104830.9","5605895178685.1","5943084555685.33","6259254258639.61","6603700940320.65","6915548661249.93","7270314854181.07","7655309998408.75","8094348611981.47","8649838304142.33","9295113068448.07","9756409606744.92","10190089642207.4","10747889300746.3","11423944734614.7","12157167020434.5","12858535788129.1","13532535023446.3","13610349121200.9","13578521124846.2","13783492448037.4","13886245289602.4","14001176476439.3","14149462819456","14455642304389.1","14901426000000","15248981880194.3","15579502482339.6","15970931357509.1","16361516352775.2","16102108449152","17275101514808.6","17678584148597.6","18137206109404.7","18628805573101.6",
"United States","USA","Households and NPISHs Final consumption expenditure, PPP (constant 2021 international $)","NE.CON.PRVT.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4792626697083.85","4961803288708.35","5281534527450.13","5601662111693.85","5940104629953.31","6244126748636.6","6598957836417.57","6966607868147.79","7394985571070.45","7906472509253.42","8514731905438.63","8900535816645.59","9246727832070.27","9739716133172.37","10357777215011.8","11033585198592.9","11672984764133.5","12263549538286.8","12281948373672.6","12121608037269.2","12352635252076.6","12562821568592.4","12734598518202.1","12956691117318.3","13323404839355.3","13772743324281.7","14110799585232.7","14483063252106.3","14880047221084","15199561893306.7","14814442797562.8","16113945000000","16603185768468.4","17023278343415.8","17492831137534.7",
"United States","USA","Households and NPISHs Final consumption expenditure (constant LCU)","NE.CON.PRVT.KN","","","","","","","","","","","746736365631.728","808178468019.085","886943703139.374","980957174670.455","1074005363327.13","1189915514798.71","1325146334138.06","1470988337228.37","1642195572597.36","1830596620505.58","2021398174509.37","2233026052921.87","2391564527886.56","2634442862035.7","2877766888995.27","3132354473897.24","3332625268155.83","3552008894256.6","3844980329151.29","4129884262319.33","4398034302535.64","4553282040400","4846688776300","5140459225300","5451036680800","5730027679100","6055644380400","6393024600700","6786132587400","7255507158300","7813686599000","8167726031400","8485414943000","8937813929200","9504988051200","10125154586500","10711910326100","11253852000000","11270736000000","11123597000000","11335603000000","11528484000000","11686118000000","11889925000000","12226446000000","12638789000000","12949012000000","13290626000000","13654925000000","13948133000000","13594722000000","14787232000000","15236192000000","15621697000000","16052590000000",
"United States","USA","Households and NPISHs Final consumption expenditure (current LCU)","NE.CON.PRVT.CN","331180000000","341475000000","362557000000","382035000000","410632000000","442973000000","479919000000","506685000000","556852000000","603639000000","646724000000","699937000000","768153000000","849575000000","930161000000","1030547000000","1147666000000","1273975000000","1422252000000","1585420000000","1750667000000","1933951000000","2071256000000","2281605000000","2492340000000","2712830000000","2886278000000","3076279000000","3330012000000","3576758000000","3808994000000","3943449000000","4197559000000","4451984000000","4720965000000","4962590000000","5244596000000","5536790000000","5877248000000","6283758000000","6767179000000","7073801000000","7348941000000","7740749000000","8231960000000","8769066000000","9277236000000","9746594000000","10050083000000","9891218000000","10260256000000","10698857000000","11047363000000","11388233000000","11874450000000","12297438000000","12726849000000","13290626000000","13934442000000","14437543000000","14225657000000","16113945000000","17690841000000","18822769000000","19825338000000",
